"Source:","C:\Users\henryque Farias\Desktop\HardTron\HARDino\HARDino.sch"
"Date:","16/09/2020 15:06:46"
"Tool:","Eeschema (5.1.5)-3"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","60"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","BT1","SW_Push","Switch:SW_Push","Button_Switch_THT:SW_PUSH_6mm_H5mm","~"
"","","BT2","SW_Push","Switch:SW_Push","Button_Switch_THT:SW_PUSH_6mm_H5mm","~"
"","","BZ1","Buzzer","Device:Buzzer","My Components:Buzzer","~"
"","","C1","100uF","pspice:CAP","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
"","","C2","100uF","pspice:CAP","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
"","","D1","LED","Device:LED","LED_THT:LED_D5.0mm","~"
"","","D2","LED","Device:LED","LED_THT:LED_D5.0mm","~"
"","","D3","LED","Device:LED","LED_THT:LED_D5.0mm","~"
"","","D4","LED_RGBC","Device:LED_RGBC","LED_THT:LED_D5.0mm-4_RGB","~"
"","","D5","LED","Device:LED","LED_THT:LED_D5.0mm","~"
"","","D6","LED","Device:LED","LED_THT:LED_D5.0mm","~"
"","","D7","LED","Device:LED","LED_THT:LED_D5.0mm","~"
"","","D8","1N4007","Diode:1N4007","Diode_SMD:D_SOD-128","http://www.vishay.com/docs/88503/1n4001.pdf"
"","","J1","RAPC712","RAPC712:RAPC712","My Components:SPC4078",""
"","","J2","Conn_01x04","Connector_Generic:Conn_01x04","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","~"
"","","J3","Conn_01x03","Connector_Generic:Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"","","J4","Conn_01x03","Connector_Generic:Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"","","J5","Conn_01x04","Connector_Generic:Conn_01x04","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","~"
"","","J6","Conn_01x03","Connector_Generic:Conn_01x03","My Components:Borne_1x3_10x15mm","~"
"","","J7","Conn_01x15","Connector_Generic:Conn_01x15","My Components:PinSocket_1x15_P2.54mm_Vertical","~"
"","","J8","Conn_01x15","Connector_Generic:Conn_01x15","My Components:PinSocket_1x15_P2.54mm_Vertical","~"
"","","J9","Conn_01x05","Connector_Generic:Conn_01x05","My Components:Borne_1x5_10x25mm","~"
"","","J10","Conn_01x04","Connector_Generic:Conn_01x04","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","~"
